,name,lon,lat
417,Barclay St & Church St,-74.01020234,40.71291224
540,Lexington Ave & E 29 St,-73.98215353488922,40.74311555376486
3307,West End Ave & W 94 St,-73.974124,40.7941654
3101,N 12 St & Bedford Ave,-73.95484712,40.72079821
3064,Myrtle Ave & Lewis Ave,-73.93756926,40.69681963
236,St Marks Pl & 2 Ave,-73.98713956,40.7284186
3112,Milton St & Franklin St,-73.95779,40.72906
3461,Murray St & Greenwich St,-74.01122331619263,40.714851505262516
3612,30 Ave & 21 St,-73.9286078,40.7703743
391,Clark St & Henry St,-73.99344559,40.69760127
3711,E 13 St & Avenue A,-73.98067966103554,40.72966729392978
3606,49 Ave & 21 St,-73.948852,40.74252
3088,Union Ave & Jackson St,-73.952029,40.7160751
3319,14 St & 5 Ave,-73.98895053,40.666287
3300,Prospect Park West & 8 St,-73.97637605667114,40.66514681533792
3348,Coffey St & Conover St,-74.015665,40.677236
3346,Berkeley Pl & 7 Ave,-73.97523209452629,40.675146838709786
442,W 27 St & 7 Ave,-73.993915,40.746647
472,E 32 St & Park Ave,-73.98194829,40.7457121
243,Fulton St & Rockwell Pl,-73.979382,40.688226
388,W 26 St & 10 Ave,-74.002950346,40.749717753
293,Lafayette St & E 8 St,-73.99102628231049,40.73020660529954
3641,Broadway & W 25 St,-73.98918628692627,40.74286877312112
275,Washington Ave & Greene Ave,-73.96563307,40.68650065
3403,4 Ave & 9 St,-73.98876585,40.6705135
3410,Dean St & Hoyt St,-73.98759104,40.6864442
3295,Central Park W & W 96 St,-73.964839,40.79127
330,Reade St & Broadway,-74.00562789,40.71450451
3343,W 107 St & Columbus Ave,-73.9621128676,40.7997568
3571,Bedford Ave & Bergen St,-73.952918,40.676368
3407,Union St & Nevins St,-73.98765474557877,40.67909799721684
2021,W 45 St & 8 Ave,-73.98859651,40.75929124
311,Norfolk St & Broome St,-73.98802084,40.7172274
509,9 Ave & W 22 St,-74.00197139,40.7454973
443,Bedford Ave & S 9 St,-73.96408963,40.70853074
3356,Amsterdam Ave & W 66 St,-73.98470567,40.7746671
237,E 11 St & 2 Ave,-73.98672378,40.73047309
406,Hicks St & Montague St,-73.99595065,40.69512845
3544,Underhill Ave & Pacific St,-73.9646795,40.6804836
3614,Crescent St & 30 Ave,-73.9249574,40.768692
3044,Albany Ave & Fulton St,-73.938475,40.6800105
3091,Frost St & Meeker St,-73.94882,40.71764
3575,Crescent St & 34 Ave,-73.930562,40.76108
3093,N 6 St & Bedford Ave,-73.95850939,40.71745169
3379,E 103 St & Lexington Ave,-73.94755757,40.7903051
3400,E 110 St & Madison Ave,-73.94782145,40.7961535
3414,Bergen St & Flatbush Ave,-73.97567331790923,40.680944723477296
3134,3 Ave & E 62 St,-73.96526895,40.76312584
491,E 24 St & Park Ave S,-73.98602213,40.74096374
3157,East End Ave & E 86 St,-73.94446054,40.77518615
376,John St & William St,-74.00722156,40.70862144
347,Greenwich St & W Houston St,-74.008591,40.728846
3179,Park Ave & Marcus Garvey Blvd,-73.941342,40.698617
3508,St Nicholas Ave & Manhattan Ave,-73.953149,40.809725
498,Broadway & W 32 St,-73.98808416,40.74854862
3472,W 15 St & 10 Ave,-74.00747358798981,40.742753828659026
212,W 16 St & The High Line,-74.00681753,40.74334935
157,Henry St & Atlantic Ave,-73.99612349,40.69089272
353,S Portland Ave & Hanson Pl,-73.97431458,40.68539567
3668,Leonard St & Nassau Ave,-73.94984364509583,40.7239567849954
482,W 15 St & 7 Ave,-73.99931783,40.73935542
361,Allen St & Hester St,-73.99190759,40.71605866
3413,Wyckoff St & 3 Ave,-73.98258555,40.6827549
3492,E 118 St & Park Ave,-73.9419949,40.8005385
2000,Front St & Washington St,-73.98940236,40.70255088
546,E 30 St & Park Ave S,-73.98303529,40.74444921
3283,W 89 St & Columbus Ave,-73.97041561,40.7882213
350,Clinton St & Grand St,-73.9870295,40.71559509
3158,W 63 St & Broadway,-73.98261428,40.77163851
241,DeKalb Ave & S Portland Ave,-73.97493121,40.68981035
474,5 Ave & E 29 St,-73.98683077,40.7451677
386,Centre St & Worth St,-74.00234482,40.71494807
3540,Morningside Ave & W 123 St,-73.9551508,40.81
436,Hancock St & Bedford Ave,-73.95399026,40.68216564
3457,E 58 St & Madison Ave,-73.97209525108337,40.76302594280519
393,E 5 St & Avenue C,-73.97995466,40.72299208
3074,Montrose Ave & Bushwick Ave,-73.94016171,40.70767788
390,Duffield St & Willoughby St,-73.9842844,40.69221589
3663,Sterling Pl & 7 Ave,-73.973827958107,40.67716489469059
3301,Columbus Ave & W 95 St,-73.968087,40.7919557
295,Pike St & E Broadway,-73.99293911,40.71406667
3129,Queens Plaza North & Crescent St,-73.94073717,40.75110165
341,Stanton St & Mangin St,-73.97628939,40.71782143
3569,Franklin Ave & St Marks Ave,-73.9561677,40.6758324
317,E 6 St & Avenue B,-73.98185424,40.72453734
3087,Metropolitan Ave & Meeker Ave,-73.95234386,40.71413311
528,2 Ave & E 31 St,-73.97706058,40.74290902
3690,Park Pl & Church St,-74.00935515761375,40.71334184275907
3459,E 53 St & 3 Ave,-73.96930575370789,40.75763227739443
3067,Broadway & Whipple St,-73.9437303,40.7016657
3701,Cliff St & Fulton St,-74.00504082441329,40.70831794366396
251,Mott St & Prince St,-73.99480012,40.72317958
3041,Kingston Ave & Herkimer St,-73.94142771,40.67890679
336,Sullivan St & Washington Sq,-73.99906065,40.73047747
3581,Underhill Ave & Lincoln Pl,-73.9671457,40.6740123
3628,Lenox Ave & W 117 St,-73.9490782,40.8025566
3368,5 Ave & 3 St,-73.98352355,40.6728155
331,Pike St & Monroe St,-73.99193043,40.71173107
257,Lispenard St & Broadway,-74.00247214,40.71939226
3086,Graham Ave & Conselyea St,-73.944507,40.715143
3384,Smith St & 3 St,-73.99599099,40.6787242
419,Carlton Ave & Park Ave,-73.97355569,40.69580705
3687,E 33 St & 1 Ave,-73.97449783980846,40.74322681432173
3310,14 St & 7 Ave,-73.98396846,40.663779
3056,Kosciuszko St & Nostrand Ave,-73.95133465,40.69072549
3046,Marcus Garvey Blvd & Macon St,-73.938037,40.682601
3053,Marcy Ave & Lafayette Ave,-73.947915,40.6900815
314,Cadman Plaza West & Montague St,-73.990539,40.69383
3511,Adam Clayton Powell Blvd & W 115 St,-73.9532423,40.802535
3562,Classon Ave & St Marks Ave,-73.9596082,40.6765198
416,Cumberland St & Lafayette Ave,-73.97265183,40.68753406
515,W 43 St & 10 Ave,-73.99461843,40.76009437
3077,Stagg St & Union Ave,-73.95095259,40.70877084
461,E 20 St & 2 Ave,-73.98205027,40.73587678
3320,Central Park West & W 100 St,-73.96286845207214,40.79406660818552
518,E 39 St & 2 Ave,-73.9734419,40.74780373
496,E 16 St & 5 Ave,-73.99238967,40.73726186
3664,North Moore St & Greenwich St,-74.0103006362915,40.72019521437465
3580,St Johns Pl & Washington Ave,-73.9631611,40.6737236
297,E 15 St & 3 Ave,-73.986923,40.734232
362,Broadway & W 37 St,-73.98753523,40.75172632
3306,10 St & 7 Ave,-73.98199886,40.6662078
405,Washington St & Gansevoort St,-74.008119,40.739323
3153,E 71 St & 2 Ave,-73.95910263061523,40.76817546742245
3118,McGuinness Blvd & Eagle St,-73.95284,40.73555
3515,24 Ave & 26 St,-73.918544,40.774591
3691,28 Ave & 44 St,-73.91065120697021,40.76408932350688
289,Monroe St & Classon Ave,-73.95881081,40.6845683
508,W 46 St & 11 Ave,-73.99667444,40.76341379
278,Concord St & Bridge St,-73.98476437,40.69766564
239,Willoughby St & Fleet St,-73.9813018,40.69196566
245,Myrtle Ave & St Edwards St,-73.97703874,40.69327018
3119,Vernon Blvd & 50 Ave,-73.95411749,40.74232744
3477,39 St & 2 Ave - Citi Bike HQ at Industry City,-74.01062786579132,40.65539977447831
3597,43 St & Broadway,-73.9166368,40.7577284
397,Fulton St & Clermont Ave,-73.96922273,40.68415748
3130,21 St & Queens Plaza North,-73.94335788,40.75325964
3167,Amsterdam Ave & W 73 St,-73.98093044757842,40.77966809007312
483,E 12 St & 3 Ave,-73.98889957,40.73223272
398,Atlantic Ave & Furman St,-73.9999786,40.69165183
3305,E 91 St & 2 Ave,-73.94965589046478,40.78112229934166
3631,Crown St & Bedford Ave,-73.956741,40.666563
3366,West End Ave & W 107 St,-73.9681805305,40.8021174
340,Madison St & Clinton St,-73.98776323,40.71269042
3576,Park Pl & Vanderbilt Ave,-73.969024,40.6767
3293,W 92 St & Broadway,-73.9739,40.7921
3236,W 42 St & Dyer Ave,-73.99379968643188,40.75898481399634
420,Clermont Ave & Lafayette Ave,-73.96968902,40.68764484
3142,1 Ave & E 62 St,-73.96094022,40.7612274
3386,1 Pl & Clinton St,-73.99905709,40.6809591
3529,Lenox Ave & W 130 St,-73.9430681,40.8107922
3527,5 Ave & E 126 St,-73.941747,40.80698
3437,Riverside Dr & W 91 St,-73.97700369358063,40.79313480986663
3431,E 35 St & 3 Ave,-73.977885,40.746524
3397,Court St & Nelson St,-73.99869893,40.6763947
3505,Lexington Ave & E 127 St,-73.936322,40.805726
3637,Fulton St & Waverly Ave,-73.96599590778351,40.683238654603414
2006,Central Park S & 6 Ave,-73.97634151,40.76590936
3463,E 16 St & Irving Pl,-73.98797392845154,40.735367055605394
3396,Clinton St & 4 Place,-74.00014502,40.6783563
3068,Humboldt St & Varet St,-73.940636,40.7031724
448,W 37 St & 10 Ave,-73.9979009,40.75660359
3712,W 35 St & Dyer Ave,-73.99740189313889,40.754691750226016
3520,Adam Clayton Powell Blvd & W 118 St,-73.951475,40.804372
3058,Lewis Ave & Kosciuszko St,-73.93705428,40.69237074
3411,Bond St & Bergen St,-73.98620772,40.6849668
3376,E 65 St & 2 Ave,-73.96222069859505,40.76471851944339
3102,Driggs Ave & Lorimer St,-73.9504154,40.72179134
3340,Wolcott St & Dwight St,-74.0100698,40.6753274
3378,E 76 St & Park Ave,-73.96222088,40.773763
3308,Kane St & Clinton St,-73.99645295,40.6861758
3050,Putnam Ave & Throop Ave,-73.94111,40.6851532
3161,W 76 St & Columbus Ave,-73.97728532552719,40.7801839724239
3617,28 Ave & 35 St,-73.9169858,40.7671
3313,6 Ave & 12 St,-73.9854617,40.6663181
3671,E 81 St & 2 Ave,-73.95427465438843,40.774779448957275
3052,Lewis Ave & Madison St,-73.935775,40.686312
3151,E 81 St & York Ave,-73.94989233,40.7728384
3336,E 97 St & Madison Ave,-73.953559,40.787801
364,Lafayette Ave & Classon Ave,-73.96023854,40.68900443
3297,6 St & 7 Ave,-73.97988067,40.6686627
3049,Cambridge Pl & Gates Ave,-73.96304,40.68488
3616,Steinway St & 28 Ave,-73.9136695,40.7656251
167,E 39 St & 3 Ave,-73.97604882,40.7489006
3499,2 Ave & E 122 St,-73.9349,40.8006721
3514,Astoria Park S & Shore Blvd,-73.927631,40.7767
3296,E 93 St & 2 Ave,-73.9489196240902,40.782454175279874
3496,1 Ave & E 110 St,-73.9383,40.7923272
3662,31 Ave & Steinway St,-73.916916847229,40.761293897289086
3359,E 68 St & Madison Ave,-73.96703464,40.7691572
3369,E 82 St & East End Ave,-73.9468208,40.7724607
3674,Jay St & York St,-73.98672670125961,40.701403172577244
3462,E 44 St & 2 Ave,-73.97138714790344,40.75118387463277
3610,Vernon Blvd & 30 Rd,-73.934171,40.770845
3601,Sterling St & Bedford Ave,-73.9569115,40.6627059
3693,N 11 St & Kent Ave,-73.95921930670738,40.72248188638219
3425,2 Ave & E 104 St,-73.94370784,40.7892105
3558,Bergen St & Vanderbilt Ave,-73.9680438,40.6794388
332,Cherry St,-73.97948148,40.71219906
408,Market St & Cherry St,-73.99400398,40.71076228
342,Columbia St & Rivington St,-73.98016555,40.71739973
3532,Ditmars Blvd & 19 St,-73.9183302,40.78145
3607,31 Ave & 14 St,-73.9322662,40.7682
3579,Sterling Pl & Bedford Ave,-73.954131,40.672695
327,Vesey Pl & River Terrace,-74.01658354,40.7153379
366,Clinton Ave & Myrtle Ave,-73.968896,40.693261
3350,W 100 St & Broadway,-73.97041192,40.7973721
3318,2 Ave & E 96 St,-73.9471673,40.7839636
3718,E 11 St & Avenue B,-73.97950418293476,40.72746420692392
276,Duane St & Greenwich St,-74.0104554,40.71748752
